,GEO_ID,E_Total_population_SX_AGE_2020,E_HSPNC_Total_population_2020,E_NOTHSPNC_White_alone_2020,P_NOTHSPNC_White_alone_2020,E_Under35_SX_AGE_2020,E_Total_population_SX_AGE_2021,E_HSPNC_Total_population_2021,E_NOTHSPNC_White_alone_2021,P_NOTHSPNC_White_alone_2021,E_Under35_SX_AGE_2021,E_Total_population_SX_AGE_2022,E_HSPNC_Total_population_2022,E_NOTHSPNC_White_alone_2022,P_NOTHSPNC_White_alone_2022,E_Under35_SX_AGE_2022
426,6007002300,3741,25,592,15.8,971.6,2215,7,558,25.2,659.3,1823,1823,1823,1823,619.6
427,6007002401,1115,0,158,14.2,252.9,1159,0,136,11.7,243,1016,1016,1016,1016,235.4
428,6007002402,3077,12,153,5,740.8,3140,101,163,5.2,749.4,2955,2955,2955,2955,761.3
429,6007002500,5896,442,859,14.6,1896.1,6043,467,768,12.7,2037.2,5535,5535,5535,5535,2028.1
430,6007002601,2439,132,37,1.5,606.5,2273,132,157,6.9,452.6,2218,2218,2218,2218,472.8
431,6007002602,3961,42,215,5.4,916.9,4011,30,229,5.7,925.1,4261,4261,4261,4261,1055.8
432,6007002700,5880,19,606,10.3,2035.8,5905,16,649,11,1748.5,5978,5978,5978,5978,1750.5
433,6007002800,3978,567,413,10.4,1306.6,4721,610,414,8.8,1448.6,4918,4918,4918,4918,1502.4
434,6007002900,2940,125,242,8.2,1174.9,2989,120,311,10.4,1219.4,2909,2909,2909,2909,1249.9
435,6007003001,2467,207,241,9.8,795.3,2197,215,329,15,912.3,2388,2388,2388,2388,931
